date	transaction_count
03.01.2009	1
09.01.2009	14
10.01.2009	61
11.01.2009	93
12.01.2009	101
13.01.2009	123
14.01.2009	130
15.01.2009	134
16.01.2009	110
17.01.2009	109
18.01.2009	108
19.01.2009	117
20.01.2009	115
21.01.2009	103
22.01.2009	92
23.01.2009	86
24.01.2009	202
25.01.2009	192
26.01.2009	97
27.01.2009	98
28.01.2009	112
29.01.2009	122
30.01.2009	117
31.01.2009	139
01.02.2009	114
02.02.2009	129
03.02.2009	155
04.02.2009	119
05.02.2009	126
06.02.2009	122
07.02.2009	133
08.02.2009	133
09.02.2009	135
10.02.2009	120
11.02.2009	135
12.02.2009	119
13.02.2009	124
14.02.2009	136
15.02.2009	131
16.02.2009	123
17.02.2009	117
18.02.2009	118
19.02.2009	125
20.02.2009	122
21.02.2009	114
22.02.2009	125
23.02.2009	108
24.02.2009	106
25.02.2009	105
26.02.2009	107
27.02.2009	116
28.02.2009	100
01.03.2009	105
02.03.2009	108
03.03.2009	107
04.03.2009	106
05.03.2009	113
06.03.2009	117
07.03.2009	109
08.03.2009	118
09.03.2009	108
10.03.2009	107
11.03.2009	114
12.03.2009	119
13.03.2009	114
14.03.2009	110
15.03.2009	123
16.03.2009	122
17.03.2009	114
18.03.2009	116
19.03.2009	122
20.03.2009	119
21.03.2009	50
22.03.2009	121
23.03.2009	130
24.03.2009	105
25.03.2009	117
26.03.2009	118
27.03.2009	106
28.03.2009	122
29.03.2009	116
30.03.2009	120
31.03.2009	111
01.04.2009	114
02.04.2009	115
03.04.2009	116
04.04.2009	113
05.04.2009	132
06.04.2009	109
07.04.2009	100
08.04.2009	105
09.04.2009	99
10.04.2009	108
11.04.2009	121
12.04.2009	120
13.04.2009	116
14.04.2009	124
15.04.2009	113
16.04.2009	123
17.04.2009	112
18.04.2009	130
19.04.2009	120
20.04.2009	121
21.04.2009	124
22.04.2009	121
23.04.2009	75
24.04.2009	115
25.04.2009	118
26.04.2009	114
27.04.2009	104
28.04.2009	117
29.04.2009	129
30.04.2009	131
01.05.2009	121
02.05.2009	128
03.05.2009	109
04.05.2009	129
05.05.2009	136
06.05.2009	135
07.05.2009	122
08.05.2009	107
09.05.2009	78
10.05.2009	85
11.05.2009	121
12.05.2009	130
13.05.2009	116
14.05.2009	142
15.05.2009	137
16.05.2009	119
17.05.2009	127
18.05.2009	118
19.05.2009	86
20.05.2009	120
21.05.2009	82
22.05.2009	61
23.05.2009	32
24.05.2009	100
25.05.2009	109
26.05.2009	125
27.05.2009	119
28.05.2009	95
29.05.2009	107
30.05.2009	109
31.05.2009	96
01.06.2009	72
02.06.2009	111
03.06.2009	71
04.06.2009	66
05.06.2009	30
06.06.2009	28
07.06.2009	16
08.06.2009	82
09.06.2009	91
10.06.2009	82
11.06.2009	89
12.06.2009	86
13.06.2009	78
14.06.2009	72
15.06.2009	84
16.06.2009	71
17.06.2009	79
18.06.2009	80
19.06.2009	87
20.06.2009	78
21.06.2009	81
22.06.2009	77
23.06.2009	76
