date	supply_satoshi
03.01.2009	5000000000
09.01.2009	75000000000
10.01.2009	380000000000
11.01.2009	845000000000
12.01.2009	1315000000000
13.01.2009	1930000000000
14.01.2009	2575000000000
15.01.2009	3205000000000
16.01.2009	3745000000000
17.01.2009	4290000000000
18.01.2009	4825000000000
19.01.2009	5400000000000
20.01.2009	5970000000000
21.01.2009	6480000000000
22.01.2009	6935000000000
23.01.2009	7355000000000
24.01.2009	8360000000000
25.01.2009	9315000000000
26.01.2009	9795000000000
27.01.2009	10280000000000
28.01.2009	10840000000000
29.01.2009	11445000000000
30.01.2009	12030000000000
31.01.2009	12720000000000
01.02.2009	13285000000000
02.02.2009	13925000000000
03.02.2009	14620000000000
04.02.2009	15215000000000
05.02.2009	15845000000000
06.02.2009	16455000000000
07.02.2009	17100000000000
08.02.2009	17760000000000
09.02.2009	18430000000000
10.02.2009	19030000000000
11.02.2009	19695000000000
12.02.2009	20290000000000
13.02.2009	20910000000000
14.02.2009	21590000000000
15.02.2009	22230000000000
16.02.2009	22840000000000
17.02.2009	23425000000000
18.02.2009	24015000000000
19.02.2009	24635000000000
20.02.2009	25245000000000
21.02.2009	25815000000000
22.02.2009	26420000000000
23.02.2009	26960000000000
24.02.2009	27490000000000
25.02.2009	28015000000000
26.02.2009	28550000000000
27.02.2009	29125000000000
28.02.2009	29620000000000
01.03.2009	30145000000000
02.03.2009	30685000000000
03.03.2009	31210000000000
04.03.2009	31730000000000
05.03.2009	32290000000000
06.03.2009	32875000000000
07.03.2009	33420000000000
08.03.2009	33995000000000
09.03.2009	34535000000000
10.03.2009	35070000000000
11.03.2009	35640000000000
12.03.2009	36230000000000
13.03.2009	36795000000000
14.03.2009	37345000000000
15.03.2009	37960000000000
16.03.2009	38565000000000
17.03.2009	39135000000000
18.03.2009	39705000000000
19.03.2009	40315000000000
20.03.2009	40905000000000
21.03.2009	41155000000000
22.03.2009	41750000000000
23.03.2009	42400000000000
24.03.2009	42925000000000
25.03.2009	43510000000000
26.03.2009	44095000000000
27.03.2009	44625000000000
28.03.2009	45220000000000
29.03.2009	45800000000000
30.03.2009	46400000000000
31.03.2009	46950000000000
01.04.2009	47520000000000
02.04.2009	48095000000000
03.04.2009	48675000000000
04.04.2009	49240000000000
05.04.2009	49890000000000
06.04.2009	50435000000000
07.04.2009	50935000000000
08.04.2009	51460000000000
