date	supply_wei
30.07.2015	72044753468230000000000000
31.07.2015	72079148311980000000000000
01.08.2015	72105665499480000000000000
02.08.2015	72132517061980000000000000
03.08.2015	72158986280730000000000000
04.08.2015	72185897843230000000000000
05.08.2015	72212130811980000000000000
06.08.2015	72237775030730000000000000
07.08.2015	72263783936980000000000000
08.08.2015	72290135499480000000000000
09.08.2015	72315816280730000000000000
10.08.2015	72342156124480000000000000
11.08.2015	72368624561980000000000000
12.08.2015	72394318624480000000000000
13.08.2015	72420827374480000000000000
14.08.2015	72449959093230000000000000
15.08.2015	72476937999480000000000000
16.08.2015	72502658155730000000000000
17.08.2015	72529452061980000000000000
18.08.2015	72554252999480000000000000
19.08.2015	72580269405730000000000000
20.08.2015	72600429561980000000000000
21.08.2015	72625922374480000000000000
22.08.2015	72652327843230000000000000
23.08.2015	72677442843230000000000000
24.08.2015	72703421749480000000000000
25.08.2015	72728959093230000000000000
26.08.2015	72754021436980000000000000
27.08.2015	72777602999480000000000000
28.08.2015	72800908155730000000000000
29.08.2015	72822589405730000000000000
30.08.2015	72843392374480000000000000
31.08.2015	72864030811980000000000000
01.09.2015	72883747530730000000000000
02.09.2015	72901653624480000000000000
03.09.2015	72918588311980000000000000
04.09.2015	72940839561980000000000000
05.09.2015	72965487374480000000000000
06.09.2015	72990431280730000000000000
07.09.2015	73014654874480000000000000
08.09.2015	73039324249480000000000000
09.09.2015	73064553155730000000000000
10.09.2015	73089627999480000000000000
11.09.2015	73115397218230000000000000
12.09.2015	73140580186980000000000000
13.09.2015	73165490343230000000000000
14.09.2015	73189801593230000000000000
15.09.2015	73214070655730000000000000
16.09.2015	73238915030730000000000000
17.09.2015	73263013155730000000000000
18.09.2015	73287521124480000000000000
19.09.2015	73312987686980000000000000
20.09.2015	73339573468230000000000000
21.09.2015	73365001593230000000000000
22.09.2015	73390303155730000000000000
23.09.2015	73416180343230000000000000
24.09.2015	73441338624480000000000000
25.09.2015	73467025811980000000000000
26.09.2015	73491728624480000000000000
27.09.2015	73515641593230000000000000
28.09.2015	73539374561980000000000000
29.09.2015	73562623624480000000000000
30.09.2015	73586464249480000000000000
01.10.2015	73612572530730000000000000
02.10.2015	73638338155730000000000000
03.10.2015	73663768780730000000000000
04.10.2015	73688242686980000000000000
05.10.2015	73713333311980000000000000
06.10.2015	73737404874480000000000000
07.10.2015	73762470968230000000000000
08.10.2015	73788273155730000000000000
09.10.2015	73812836436980000000000000
10.10.2015	73837358624480000000000000
11.10.2015	73862770655730000000000000
12.10.2015	73888555030730000000000000
13.10.2015	73914142061980000000000000
14.10.2015	73938862061980000000000000
15.10.2015	73963533155730000000000000
16.10.2015	73987990811980000000000000
17.10.2015	74013319561980000000000000
18.10.2015	74038090968230000000000000
19.10.2015	74063011436980000000000000
20.10.2015	74088013311980000000000000
21.10.2015	74113008468230000000000000
22.10.2015	74137231124480000000000000
23.10.2015	74163597843230000000000000
24.10.2015	74189505343230000000000000
25.10.2015	74215040186980000000000000
26.10.2015	74239637374480000000000000
27.10.2015	74265796124480000000000000
28.10.2015	74290693311980000000000000
29.10.2015	74316554093230000000000000
30.10.2015	74342777999480000000000000
31.10.2015	74368509561980000000000000
01.11.2015	74394397218230000000000000
02.11.2015	74419600186980000000000000
03.11.2015	74445114718230000000000000
